algorithm, size, cpu_time
gsl_blas_dgemm, 64, 25
gsl_blas_dgemm, 64, 1
gsl_blas_dgemm, 64, 1
gsl_blas_dgemm, 64, 1
gsl_blas_dgemm, 64, 2
gsl_blas_dgemm, 64, 2
gsl_blas_dgemm, 64, 2
gsl_blas_dgemm, 64, 1
gsl_blas_dgemm, 64, 1
gsl_blas_dgemm, 64, 1
gsl_blas_dgemm, 256, 3
gsl_blas_dgemm, 256, 2
gsl_blas_dgemm, 256, 3
gsl_blas_dgemm, 256, 3
gsl_blas_dgemm, 256, 3
gsl_blas_dgemm, 256, 2
gsl_blas_dgemm, 256, 3
gsl_blas_dgemm, 256, 3
gsl_blas_dgemm, 256, 2
gsl_blas_dgemm, 256, 2
gsl_blas_dgemm, 1024, 4
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 1024, 4
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 1024, 4
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 1024, 5
gsl_blas_dgemm, 4096, 18
gsl_blas_dgemm, 4096, 18
gsl_blas_dgemm, 4096, 17
gsl_blas_dgemm, 4096, 17
gsl_blas_dgemm, 4096, 19
gsl_blas_dgemm, 4096, 18
gsl_blas_dgemm, 4096, 17
gsl_blas_dgemm, 4096, 32
gsl_blas_dgemm, 4096, 22
gsl_blas_dgemm, 4096, 17
gsl_blas_dgemm, 16384, 60
gsl_blas_dgemm, 16384, 62
gsl_blas_dgemm, 16384, 63
gsl_blas_dgemm, 16384, 87
gsl_blas_dgemm, 16384, 78
gsl_blas_dgemm, 16384, 63
gsl_blas_dgemm, 16384, 59
gsl_blas_dgemm, 16384, 64
gsl_blas_dgemm, 16384, 169
gsl_blas_dgemm, 16384, 71
gsl_blas_dgemm, 65536, 422
gsl_blas_dgemm, 65536, 227
gsl_blas_dgemm, 65536, 226
gsl_blas_dgemm, 65536, 227
gsl_blas_dgemm, 65536, 169
gsl_blas_dgemm, 65536, 192
gsl_blas_dgemm, 65536, 168
gsl_blas_dgemm, 65536, 214
gsl_blas_dgemm, 65536, 217
gsl_blas_dgemm, 65536, 396
gsl_blas_dgemm, 262144, 694
gsl_blas_dgemm, 262144, 708
gsl_blas_dgemm, 262144, 673
gsl_blas_dgemm, 262144, 685
gsl_blas_dgemm, 262144, 691
gsl_blas_dgemm, 262144, 914
gsl_blas_dgemm, 262144, 696
gsl_blas_dgemm, 262144, 688
gsl_blas_dgemm, 262144, 676
gsl_blas_dgemm, 262144, 710
gsl_blas_ddot, 64, 5
gsl_blas_ddot, 64, 0
gsl_blas_ddot, 64, 1
gsl_blas_ddot, 64, 1
gsl_blas_ddot, 64, 2
gsl_blas_ddot, 64, 2
gsl_blas_ddot, 64, 1
gsl_blas_ddot, 64, 0
gsl_blas_ddot, 64, 1
gsl_blas_ddot, 64, 0
gsl_blas_ddot, 256, 1
gsl_blas_ddot, 256, 1
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 256, 2
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 2
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 3
gsl_blas_ddot, 1024, 2
gsl_blas_ddot, 4096, 9
gsl_blas_ddot, 4096, 10
gsl_blas_ddot, 4096, 9
gsl_blas_ddot, 4096, 9
gsl_blas_ddot, 4096, 14
gsl_blas_ddot, 4096, 8
gsl_blas_ddot, 4096, 10
gsl_blas_ddot, 4096, 8
gsl_blas_ddot, 4096, 9
gsl_blas_ddot, 4096, 7
gsl_blas_ddot, 16384, 81
gsl_blas_ddot, 16384, 85
gsl_blas_ddot, 16384, 22
gsl_blas_ddot, 16384, 22
gsl_blas_ddot, 16384, 20
gsl_blas_ddot, 16384, 23
gsl_blas_ddot, 16384, 23
gsl_blas_ddot, 16384, 23
gsl_blas_ddot, 16384, 23
gsl_blas_ddot, 16384, 39
gsl_blas_ddot, 65536, 290
gsl_blas_ddot, 65536, 94
gsl_blas_ddot, 65536, 91
gsl_blas_ddot, 65536, 103
gsl_blas_ddot, 65536, 92
gsl_blas_ddot, 65536, 91
gsl_blas_ddot, 65536, 90
gsl_blas_ddot, 65536, 76
gsl_blas_ddot, 65536, 75
gsl_blas_ddot, 65536, 75
gsl_blas_ddot, 262144, 408
gsl_blas_ddot, 262144, 332
gsl_blas_ddot, 262144, 327
gsl_blas_ddot, 262144, 380
gsl_blas_ddot, 262144, 321
gsl_blas_ddot, 262144, 326
gsl_blas_ddot, 262144, 305
gsl_blas_ddot, 262144, 384
gsl_blas_ddot, 262144, 323
gsl_blas_ddot, 262144, 315
